trade_date,000651.SZ,600036.SH,600519.SH,601318.SH
20170720,90300.0,147600.0,8200.0,68800.0
20170721,90300.0,147600.0,8200.0,68800.0
20170724,91200.0,146600.0,7900.0,71600.0
20170725,91200.0,146600.0,7900.0,71600.0
20170726,91200.0,146600.0,7900.0,71600.0
20170727,91200.0,146600.0,7900.0,71600.0
20170728,91200.0,146600.0,7900.0,71600.0
20170731,94600.0,145200.0,7700.0,71400.0
20170801,94600.0,145200.0,7700.0,71400.0
20170802,94600.0,145200.0,7700.0,71400.0
20170803,94600.0,145200.0,7700.0,71400.0
20170804,94600.0,145200.0,7700.0,71400.0
20170807,96600.0,143000.0,7700.0,71000.0
20170808,96600.0,143000.0,7700.0,71000.0
20170809,96600.0,143000.0,7700.0,71000.0
20170810,96600.0,143000.0,7700.0,71000.0
20170811,96600.0,143000.0,7700.0,71000.0
20170814,94900.0,148600.0,7400.0,73000.0
20170815,94900.0,148600.0,7400.0,73000.0
20170816,94900.0,148600.0,7400.0,73000.0
20170817,94900.0,148600.0,7400.0,73000.0
20170818,94900.0,148600.0,7400.0,73000.0
20170821,95900.0,147500.0,7600.0,70400.0
20170822,95900.0,147500.0,7600.0,70400.0
20170823,95900.0,147500.0,7600.0,70400.0
20170824,95900.0,147500.0,7600.0,70400.0
20170825,95900.0,147500.0,7600.0,70400.0
20170828,97600.0,142700.0,7900.0,69100.0
20170829,97600.0,142700.0,7900.0,69100.0
20170830,97600.0,142700.0,7900.0,69100.0
20170831,97600.0,142700.0,7900.0,69100.0
20170901,97600.0,142700.0,7900.0,69100.0
20170904,100400.0,141900.0,7800.0,69300.0
20170905,100400.0,141900.0,7800.0,69300.0
20170906,100400.0,141900.0,7800.0,69300.0
20170907,100400.0,141900.0,7800.0,69300.0
20170908,100400.0,141900.0,7800.0,69300.0
20170911,100400.0,142300.0,7800.0,69000.0
20170912,100400.0,142300.0,7800.0,69000.0
20170913,100400.0,142300.0,7800.0,69000.0
20170914,100400.0,142300.0,7800.0,69000.0
20170915,100400.0,142300.0,7800.0,69000.0
20170918,100400.0,145300.0,7500.0,70200.0
20170919,100400.0,145300.0,7500.0,70200.0
20170920,100400.0,145300.0,7500.0,70200.0
20170921,100400.0,145300.0,7500.0,70200.0
20170922,100400.0,145300.0,7500.0,70200.0
20170925,98000.0,147900.0,7500.0,70500.0
20170926,98000.0,147900.0,7500.0,70500.0
20170927,98000.0,147900.0,7500.0,70500.0
20170928,98000.0,147900.0,7500.0,70500.0
20170929,98000.0,147900.0,7500.0,70500.0
