trade_date,strat,bench,strat_cum,bench_cum,active,active_cum
20170203,0.0,0.0,1.0,1.0,0.0,1.0
20170206,-0.00012203115548692356,0.0025896329143033636,0.9998779688445131,1.0025896329143034,-0.002711664069790287,0.9972883359302097
20170207,-0.003490123225404984,-0.00222939304817249,0.9963882715228781,1.0003544665565145,-0.0012607301772324941,0.9960276057529772
20170208,0.0027739964964947905,0.005230109330793153,0.9991522490972311,1.0055864297861523,-0.002456112834298363,0.9935714929186789
20170209,0.0075219067205640755,0.0038437758679588097,1.0066677791145824,1.0094516786381111,0.003678130852605266,0.9972496237712841
20170210,0.004533047420701042,0.005062697192974364,1.0112310518942005,1.0145622268179955,-0.0005296497722733218,0.9967199739990108
20170213,0.015962281831538805,0.0066759303126644465,1.0273726069413391,1.021335373542094,0.009286351518874358,1.0060063255178853
20170214,-0.0042972110771622996,-0.00013700882496314737,1.0229577699944177,1.0211954415826718,-0.004160202252199152,1.0018461232656861
20170215,0.004613716589258132,-0.004101252335624972,1.0276774072279515,1.0170072613927514,0.008714968924883104,1.010561092190569
20170216,0.005235321720829855,0.005617069414732612,1.0330576290800182,1.0227198617752817,-0.0003817476939027564,1.0101793444966662
20170217,-0.0017593024138272684,-0.005664510013286939,1.0312401682995551,1.0169266548774683,0.0039052075994596702,1.0140845520961261
20170220,0.026967954707317165,0.014599312646519147,1.0590506064506235,1.0317730850506033,0.012368642060798019,1.026453194156924
20170221,-0.004698796817412032,0.003292741938782706,1.054074342831555,1.0351704475590566,-0.007991538756194738,1.0184616554007293
20170222,0.0031079648415450745,0.001990827555692576,1.0573503688294503,1.0372312934108958,0.0011171372858524986,1.0195787926865818
20170223,-0.006045560121152649,-0.0047089529192678725,1.050958093605569,1.0323470200838325,-0.0013366072018847763,1.018242185484697
20170224,0.0010361315979934282,0.00015204457194828436,1.0520470244945206,1.0325039828446032,0.0008840870260451439,1.0191262725107422
20170227,-0.012112728249094706,-0.00795339075643331,1.0393038647815498,1.0242920752114664,-0.004159337492661397,1.0149669350180808
20170228,0.0008438010806326446,0.0019115130919569179,1.040180830505758,1.0262500229232208,-0.0010677120113242733,1.0138992230067565
20170301,-0.00021651330320171525,0.0016297738685500107,1.039955617518218,1.0279225783931798,-0.001846287171751726,1.0120529358350048
20170302,-0.006410239568170661,-0.006749088085325039,1.0332892528696613,1.0209850383667098,0.0003388485171543776,1.0123917843521593
20170303,-0.0015315291879973714,-0.0021057633813643672,1.0317067402192475,1.0188350854599963,0.0005742341933669959,1.012966018545526
20170306,0.010060206238790226,0.005432306100465967,1.042085922803803,1.0243697095101094,0.004627900138324259,1.0175939186838505
20170307,0.009785865156615614,0.0021681516583276217,1.0522836351259683,1.0265906983945243,0.007617713498287992,1.0252116321821383
20170308,-0.0014982569551073022,-0.001512815809926904,1.0507070438508952,1.0250376557556693,1.455885481960184e-05,1.025226191036958
20170309,0.0011543449042545895,-0.006317540598190341,1.0519199221728288,1.018561938750759,0.0074718855024449304,1.032698076539403
20170310,0.0018328962002853721,0.00027657296276628607,1.053847982201184,1.0188436454439203,0.001556323237519086,1.034254399776922
20170313,0.004553423679907853,0.008811947262276298,1.058646598558362,1.0278216419160775,-0.004258523582368445,1.0299958761945536
20170314,-0.002057023615133824,-0.00040617703720369214,1.0564689375050462,1.0274041643667902,-0.0016508465779301318,1.0283450296166234
20170315,0.007584059585453051,0.002010649830846978,1.0644812608772647,1.0294699143760857,0.0055734097546060735,1.0339184393712295
20170316,0.0008740960137680887,0.005157285813124801,1.0654117197041284,1.0347791849605363,-0.0042831897993567125,1.0296352495718728
20170317,-0.006641133741989713,-0.010254612184276812,1.05833617798329,1.024167925722404,0.003613478442287099,1.03324872801416
20170320,0.00909870883074837,0.0011049667318676626,1.067965670711807,1.025299597208173,0.007993742098880707,1.0412424701130405
20170321,0.017264748946619335,0.004851037475918307,1.0864038299002543,1.030273363978274,0.012413711470701028,1.0536561815837415
20170322,-0.003365598492191979,-0.004701376100048504,1.0827474308084304,1.02542966140835,0.0013357776078565253,1.0549919591915982
20170323,0.008436848457912483,0.003457340997530922,1.0918824068003552,1.0289749214168213,0.00497950746038156,1.0599714666519797
20170324,0.0026607144723591603,0.007978530887340796,1.0947875941222434,1.0371846296096445,-0.005317816414981635,1.054653650236998
20170327,-0.006479946857201657,-0.0033130447598330726,1.0876934286924076,1.0337483905075369,-0.0031669020973685846,1.0514867481396295
20170328,-8.359730406215515e-05,-0.002366046264295263,1.0876025004541228,1.0313024939899553,0.0022824489602331077,1.0537691970998626
20170329,0.00743616816739201,-0.0013303324767732772,1.0956900955467757,1.0299305187888232,0.008766500644165287,1.062535697744028
20170330,-0.0033646449459341365,-0.008205978004170777,1.0920034874044842,1.021478931605818,0.004841333058236641,1.0673770308022645
20170331,0.011846664843340848,0.0056121204926271595,1.1049400867275245,1.02721159445067,0.006234544350713689,1.0736115751529782
20170405,-0.0004540976985106804,0.013844638330137604,1.1044383359771495,1.0414329674643634,-0.014298736028648285,1.0593128391243298
20170406,0.004413915692181858,0.0028978337581750946,1.1093132336793663,1.0444508670743582,0.0015160819340067633,1.0608289210583366
20170407,-0.005279158342563206,0.0009722408656527293,1.103456993467272,1.0454663248894942,-0.006251399208215935,1.0545775218501208
20170410,-0.005425680721075743,-0.003503718048637028,1.0974699881312804,1.0418033056577367,-0.001921962672438715,1.052655559177682
20170411,-0.008323393809244184,0.003477408258137027,1.0883353132262372,1.0454260810761853,-0.01180080206738121,1.0408547571103008
