index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
60,7.633800000000001,Sell,62,20170522,201705220061,42.41,900.0,143000,601318.SH,201705220017
61,8.8336,Sell,59,20170522,201705220062,441.68,100.0,143000,600519.SH,201705220017
62,17.7728,Buy,63,20170531,201705310063,444.32,200.0,143000,600519.SH,201705310018
63,16.248,Buy,64,20170531,201705310064,33.85,2400.0,143000,000651.SZ,201705310018
64,24.3216,Sell,65,20170531,201705310065,22.52,5400.0,143000,600036.SH,201705310018
65,11.9054,Sell,66,20170531,201705310066,45.79,1300.0,143000,601318.SH,201705310018
66,7.3414,Buy,68,20170605,201706050067,33.37,1100.0,143000,000651.SZ,201706050019
67,4.3660000000000005,Buy,69,20170605,201706050068,21.83,1000.0,143000,600036.SH,201706050019
68,1.7788000000000002,Sell,70,20170605,201706050069,44.47,200.0,143000,601318.SH,201706050019
69,8.886000000000001,Sell,67,20170605,201706050070,444.3,100.0,143000,600519.SH,201706050019
70,8.7948,Sell,74,20170612,201706120071,48.86,900.0,143000,601318.SH,201706120020
71,27.1046,Buy,73,20170612,201706120072,22.97,5900.0,143000,600036.SH,201706120020
72,29.416,Sell,72,20170612,201706120073,36.77,4000.0,143000,000651.SZ,201706120020
73,9.425,Buy,71,20170612,201706120074,471.25,100.0,143000,600519.SH,201706120020
74,0.0,Buy,101010,20170614,101010,0.0,5066.207411080628,200000,600036.SH,101010
75,18.27993714006191,Buy,77,20170619,201706190075,21.09,4333.792588919372,143000,600036.SH,201706190021
76,5.1492,Sell,76,20170619,201706190076,36.78,700.0,143000,000651.SZ,201706190021
77,9.3604,Sell,75,20170619,201706190077,468.02,100.0,143000,600519.SH,201706190021
78,4.7860000000000005,Sell,78,20170619,201706190078,47.86,500.0,143000,601318.SH,201706190021
79,22.9724,Buy,82,20170626,201706260079,49.94,2300.0,143000,601318.SH,201706260022
80,21.19,Sell,80,20170626,201706260080,40.75,2600.0,143000,000651.SZ,201706260022
